Q,A
"9-1-1, what's your emergency?",I'm at West High School. There's a guy with a gun. West High.
"9-1-1, what's your emergency?","Somebody just broke into my vehicle, man. I'm on Sheridan, 10th and Sheridan. The guys who did it just sped off."
"9-1-1, what's your emergency?","Are you looking, Jenny, do you have a group out on I-4? Yes, we have a few people here just east of the D line. Is the person in the white minivan you?"
"9-1-1, what's your emergency?","Oh, my God. He stabbed me with something."
"9-1-1, what's your emergency?",Police. I'm at the McDonald's on U.S. 1 by the bridge.
"9-1-1, what's your emergency?","Hi, you need to get the police. Just ran over and they said that the young boy just shot his mom."
"9-1-1, what's your emergency?","Hi, this is really calling from Motel 6. I have a gentleman in a room, and when he went to change his room, a bag of pot fell out of his pocket onto the desk in front of me."
"9-1-1, what's your emergency?","650 for Belmore, an auto accident, a car hit a telephone transformer. Belmar Avenue and Merrick Road."
"9-1-1, what's your emergency?","Yes, we do. We have a plane that went down in Munson Park. It went down. It crashed. It's on fire."
"9-1-1, what's your emergency?","I'm here at the police station, Monroe Falls. I killed my sister. I'm turning myself in."
"9-1-1, what's your emergency?",I need an emergency. There's a shooting out on Rock Hill Road at 6th Hill Road. I need police and an ambulance. There's been a shooting. Please hurry.
"9-1-1, what's your emergency?",517 West Doty Street. 517 West Doty Street.
"9-1-1, what's your emergency?","This is 946 West Dallas Street, number 6. EMS please. My husband's eyes are rolling back and he's not breathing right."
"9-1-1, what's your emergency?","Yes, this is a student from Sparks Middle School. This is a student from Sparks Middle School. Can you please send police out here? There's a kid with a gun."
"9-1-1, what's your emergency?","Hi, this is at the Venice airport. We have an aircraft declaring an emergency that's going to land on the beach at Venice, close to the airport. I'm not sure exactly where he is. Yes."
"9-1-1, what's your emergency?",I have a gun range officer that got shot in the head. We're at the last stop on Highway 93.
"9-1-1, what's your emergency?","I have a... Okay. I'm at Wildcat Haven. We've had one of our keepers get attacked. I need an ambulance. I understand, sir."
"9-1-1, what's your emergency?","Hi, I need the police to come to my house right away. My daughter's boyfriend is here."
"9-1-1, what's your emergency?","Units in the area of Newburgh and 264. Still in our police car, on town."
"9-1-1, what's your emergency?","Oh, Good Wine Circle. I need a paramedic right now, please. School-le-road, Good Wine Circle. I cannot give you the exact address right now. I need a paramedic immediately."
"9-1-1, what's your emergency?","It's 515 East Rancho. I have people in my yard and the dogs in my yard from next door. I don't know what’s going on, but there's something happening here. Well, there are a bunch of them yelling about something. I don't know what. I'm going out to see what's going on."
"9-1-1, what's your emergency?","Please send medical. What is it, a medical emergency or something else? There's a bad fight next door. One person is on the ground, and the other just got up."
"9-1-1, what's your emergency?","No, I think someone's in. I'm hearing noise from lights, like, the doors and the windows."
"9-1-1, what's your emergency?",It's 188 and 92 Indian Springs. I just shot my mother and my nephew.
"9-1-1, what's your emergency?","I've got a fire. 2355 South, 1100 West."
"9-1-1, what's your emergency?",Somebody just came into my house. <provide address>
"9-1-1, what's your emergency?","Hello, this is 9-1-1, right? I need help quickly down at 1385 River Road, Greedyville, South Carolina."
"9-1-1, what's your emergency?","Hello, somebody is coming into my house. It's, um, 5908."
"9-1-1, what's your emergency?",Two officers have been shot on 21st and Nelson. We have units coming down to 21st and Nelson. The officer's been shot there.
"9-1-1, what's your emergency?",I think I need an ambulance. I've got a teenager. He's turning purple in his face. I think he's passed out or something. I don't know. He's 16.
"9-1-1, what's your emergency?","Hi, good afternoon. I live on New York Ave in Somerset. My husband just came home and when he opened the door, it smelled like gas outside, like in the streets. Yes, that's right. We didn't know who to call to report this, but you can smell it outside. It’s not in the house yet."
"9-1-1, what's your emergency?","Fort Worth Police, somebody just got my purse out of the car in front. Grabbed my purse out of my car in front of Alpha Depot."
"9-1-1, what's your emergency?","My emergency, um, it's at 3209 Mink Road, Coitner's a P.A. Bucks County."
"9-1-1, what's your emergency?","Hi, this is calling from Captain Doug's Airboat Tour's Everglade City. Our address is 905 DuPont Road."
"9-1-1, what's your emergency?","There's a mention 911. See, I think some people are shooting."
"9-1-1, what's your emergency?",Fire department? My apartment is on fire.
"9-1-1, what's your emergency?",A guy stopped me. Something's wrong with his wife. Something's wrong with his wife. He doesn't speak very good English.
"9-1-1, what's your emergency?","582 North, 500, 8. Roll a cop, roll an ambulance, shots fired. A baby's been hit in the head. Please come now. Please. I need medical help. Baby was shot. Baby shot. Father's trying to shoot himself."
"9-1-1, what's your emergency?","Hi, I'm on Ware Street in Cambridge, and the house number is 17. Sorry, it's 17 Ware Street."
"9-1-1, what's your emergency?","I need an ambulance quickly. We were just sitting talking, my wife yelled Bob, and then she fell on the floor."
"9-1-1, what's your emergency?","Yes, I need the police at 963 East 36th Street. Nine six three East 36th Street."
"9-1-1, what's your emergency?",I just shot my wife. Probably not.
"9-1-1, what's your emergency?","Yeah, hi. I need to get someone to come to 590 Gates Avenue. Yeah."
"9-1-1, what's your emergency?",Hi. My name is Jean Thomas. I'm watching my home on live monitor and there's a black man in my house and he's robbing it. I'm calling from my office and I have a live video monitor and I just...
"9-1-1, what's your emergency?","Shooting in the courthouse, officer down, shooting. Shooting in the courthouse, officer is down."
"9-1-1, what's your emergency?","Hi, I'm calling about my son. I'm on the side of the road. They took him in a car."
"9-1-1, what's your emergency?",Two men have just crossed my fence. They're trying to get into my house. 4202 Marlow Circle.
"9-1-1, what's your emergency?","Yeah, we got a fire down here on Route 7, right here at Abington. Yeah, right down below McCombie's funeral home."
"9-1-1, what's your emergency?","Yeah, I'm turning myself in for my husband. I'm sorry, I'm turning myself in for killing my husband."
"9-1-1, what's your emergency?",He's breaking into my house! I don't know who he is!
"9-1-1, what's your emergency?","Officer, there's an emergency at the Bank of America on Laurel Canyon, north of Kittridge. Yes, we have shots fired at the Bank of America. There are two suspects, heavily armed and wearing body armor."
"9-1-1, what's your emergency?","My friend has been missing since 7 o'clock this morning. She's in the middle of a divorce, and I'm not sure what to do. She supposedly went for a run this morning at 7 o'clock in Lockmere, but no one has heard from her. She was supposed to be at my house at 8, and she never showed up."
"9-1-1, what's your emergency?","I need a policeman in the name of this in my house. Right now. 1807 Elmwood Court, Sugarland, hurry, please."
"9-1-1, what's your emergency?","I've got a woman in my bank pointing a rifle at all of us and all of our customers. I need police now. Oh my God, she's making us go into the vault. I need police here now!"
"9-1-1, what's your emergency?","Oh, please, hurry. This is 19 Windham Court. We've got somebody in the house here with a gun, and he's threatening all three of us. Oh, my God, he's shooting again!"
"9-1-1, what's your emergency?","Hello, 911? Please help me. Somebody's trying to get into my house. They tied my front door and my shed door, and now they're trying to break in through my gate."
"9-1-1, what's your emergency?","Yeah, hi. I have a kind of a particular emergency here. My cat attacked our seven-month-old child, and I kicked the cat in the rear, and it has gone off the edge. We aren't safe around the cat."
"9-1-1, what's your emergency?",I need help. I need some help.
"9-1-1, what's your emergency?","It's about a quarter mile west of Castleton on the railroad tracks. We've got a train that derailed and there's a fire. West of Castleton, near the ethanol plant."
"9-1-1, what's your emergency?","850 Highland Boulevard at the old convent. There's a fire. 850 Highland Boulevard, but they have to come in through Columbia. It's the old convent."
"9-1-1, what's your emergency?","No, Reza, 911. Amber, 150 North Preston."
"9-1-1, what's your emergency?","Yeah, we need somebody at the Center Middle School gym. We have an athlete who is on the court, moaning on his back. Could be dehydrated, could be having a seizure."
"9-1-1, what's your emergency?","I need medical. I'm in UCF, Lake Claire, building 57, third floor, room 311."
"9-1-1, what's your emergency?","Yeah, we deliver papers out on Lakeshore, and we lost contact with two carriers. They were out near M89 and Lakeshore. Yes, we followed their newspapers to the spot where the road is gone, and the water is just rushing up under it. It's bad."
"9-1-1, what's your emergency?","Hi, this is the Angus Police. I have a bear mauling. I'm out on the trail. Yes, we need paramedics. I just reported it to somebody else who's going to be calling 911."
